Indiv_ID,Sex,Life_Stage,SVL (mm),SVL_cm,Mass_g,CEWL_g_m2h,Pregnant,Plasma_Osmol_Rep_mean,Tb_at_CEWL,CEWL_Blood_Collect_Date,Region,msmt_temp_C,msmt_RM_percent,,,,
PPuY,F,adult,921,92.1,629.3,7.593333333,Y,381,25,5/31/21,dorsal light,22.4,31.7,,,,
PRA,F,adult,869,86.9,681.9,6.22,Y,356,18,5/23/21,dorsal light,20.1,24.2,,,,
PRP,F,adult,801,80.1,330.7,4.703333333,N,422,24,5/28/21,dorsal light,23.6,19.9,,,,
PRPu,F,adult,855,85.5,445.5,7.336666667,N,381.6666667,26,6/1/21,dorsal light,24.1,22.5,,,,
PRY,F,adult,769,76.9,365.7,4.246666667,N,383,22,5/27/21,dorsal light,21.6,20,,,,
PuBPi,M,adult,707,70.7,289.2,4.38,NA,397.3333333,18,5/23/21,dorsal light,19.7,24.5,,,,
PuYW,M,adult,890,89,529.2,7.713333333,NA,380.5,24,5/28/21,dorsal light,23.9,21,,,,
PuYY,M,adult,911,91.1,615.9,3.773333333,NA,NA,20,5/25/21,dorsal light,19.1,25.1,,,,
PWA,F,adult,822,82.2,329.7,5.066666667,Y,370,20,5/25/21,dorsal light,17.9,29.5,,,,
PWPu,F,adult,729,72.9,267.4,7.82,Y,387.5,23.5,5/31/21,dorsal light,21.6,27.9,,,,
PWR,F,adult,736,73.6,373.4,2.66,Y,418,18,5/23/21,dorsal light,20.1,23.6,,,,
R1,F,adult,845,84.5,340.6,8.26,N,NA,22.5,5/30/21,dorsal light,21.1,33.1,,,,
RBA,F,adult,866,86.6,555.1,7.626666667,Y,NA,17,5/26/21,dorsal light,13.4,44.8,,,,
RBP,F,adult,868,86.8,325.6,2.24,N,383.5,22.5,5/28/21,dorsal light,21.8,22.3,,,,
RBW,F,adult,835,83.5,356.6,6.243333333,Y,379.5,18,5/23/21,dorsal light,19.6,24.5,,,,
RGR,F,adult,770,77,259.8,6.8,N,444,22,5/29/21,dorsal light,19.3,33.1,,,,
